상품종류,단축코드,표준코드, 한글종목명, ATM구분, 행사가, 월물구분코드, 기초자산 단축코드, 기초자산 명
5,201W06435,KR4201W64356,C 202506 435.0,3,435,,2001,KOSPI200
5,201W06437,KR4201W64372,C 202506 437.5,3,437.5,,2001,KOSPI200
5,201W06440,KR4201W64406,C 202506 440.0,3,440,,2001,KOSPI200
5,201W06442,KR4201W64422,C 202506 442.5,3,442.5,,2001,KOSPI200
5,201W06445,KR4201W64455,C 202506 445.0,3,445,,2001,KOSPI200
5,201W06447,KR4201W64471,C 202506 447.5,3,447.5,,2001,KOSPI200
5,201W06450,KR4201W64505,C 202506 450.0,3,450,,2001,KOSPI200
5,201W06452,KR4201W64521,C 202506 452.5,3,452.5,,2001,KOSPI200
5,201W06455,KR4201W64554,C 202506 455.0,3,455,,2001,KOSPI200
5,201W06457,KR4201W64570,C 202506 457.5,3,457.5,,2001,KOSPI200
5,201W06460,KR4201W64604,C 202506 460.0,3,460,,2001,KOSPI200
5,201W06462,KR4201W64620,C 202506 462.5,3,462.5,,2001,KOSPI200
5,201W06465,KR4201W64653,C 202506 465.0,3,465,,2001,KOSPI200
5,201W06467,KR4201W64679,C 202506 467.5,3,467.5,,2001,KOSPI200
5,201W06470,KR4201W64703,C 202506 470.0,3,470,,2001,KOSPI200
5,201W06472,KR4201W64729,C 202506 472.5,3,472.5,,2001,KOSPI200
5,201W06475,KR4201W64752,C 202506 475.0,3,475,,2001,KOSPI200
5,201W06477,KR4201W64778,C 202506 477.5,3,477.5,,2001,KOSPI200
5,201W06480,KR4201W64802,C 202506 480.0,3,480,,2001,KOSPI200
5,201W06482,KR4201W64828,C 202506 482.5,3,482.5,,2001,KOSPI200
5,201W06485,KR4201W64851,C 202506 485.0,3,485,,2001,KOSPI200
5,201W06487,KR4201W64877,C 202506 487.5,3,487.5,,2001,KOSPI200
5,201W06490,KR4201W64901,C 202506 490.0,3,490,,2001,KOSPI200
5,201W06492,KR4201W64927,C 202506 492.5,3,492.5,,2001,KOSPI200
5,201W06495,KR4201W64950,C 202506 495.0,3,495,,2001,KOSPI200
5,201W06497,KR4201W64976,C 202506 497.5,3,497.5,,2001,KOSPI200
5,201W06500,KR4201W65007,C 202506 500.0,3,500,,2001,KOSPI200
5,201W06502,KR4201W65023,C 202506 502.5,3,502.5,,2001,KOSPI200
5,201W06505,KR4201W65056,C 202506 505.0,3,505,,2001,KOSPI200
5,201W06507,KR4201W65072,C 202506 507.5,3,507.5,,2001,KOSPI200
5,201W06510,KR4201W65106,C 202506 510.0,3,510,,2001,KOSPI200
5,201W06512,KR4201W65122,C 202506 512.5,3,512.5,,2001,KOSPI200
5,201W06515,KR4201W65155,C 202506 515.0,3,515,,2001,KOSPI200
5,201W06517,KR4201W65171,C 202506 517.5,3,517.5,,2001,KOSPI200
5,201W06520,KR4201W65205,C 202506 520.0,3,520,,2001,KOSPI200
5,201W07185,KR4201W71856,C 202507 185.0,2,185,,2001,KOSPI200
